.0 507.00
541376.00 508.00 504.00
543004.00 508.00 505.00
544632.00 508.00 507.00
546256.00 508.00 508.00
547884.00 508.00 506.00
549512.00 508.00 504.00
551140.00 508.00 501.00
552768.00 507.00 498.00
554392.00 508.00 498.00
556016.00 508.00 499.00
557648.00 508.00 500.00
559276.00 508.00 502.00
560904.00 508.00 504.00
562540.00 508.00 505.00
564168.00 508.00 506.00
565800.00 508.00 508.00
567428.00 508.00 507.00
569056.00 508.00 504.00
570684.00 508.00 502.00
572312.00 508.00 499.00
573944.00 508.00 498.00
575580.00 508.00 499.00
577208.00 508.00 500.00
578844.00 508.00 501.00
580472.00 509.00 503.00
582096.00 508.00 505.00
583724.00 508.00 506.00
585352.00 508.00 508.00
586980.00 508.00 507.00
588608.00 507.00 505.00
590232.00 508.00 503.00
591864.00 508.00 499.00
593488.00 508.00 498.00
595124.00 508.00 499.00
596752.00 508.00 500.00
598380.00 508.00 501.00
600008.00 508.00 502.00
601640.00 508.00 504.00
603268.00 508.00 505.00
604896.00 508.00 507.00
606524.00 508.00 507.00
608152.00 508.00 506.00
609784.00 507.00 503.00
611412.00 508.00 500.00
613040.00 508.00 498.00
614676.00 508.00 499.00
616304.00 507.00 499.00
617928.00 508.00 501.00
619556.00 508.00 502.00
621184.00 508.00 504.00
622812.00 508.00 505.00
624440.00 508.00 507.00
626064.00 508.00 508.00
627688.00 508.00 506.00
629312.00 508.00 504.00
630940.00 508.00 501.00
632568.00 509.00 498.00
634204.00 508.00 498.00
635832.00 508.00 499.00
637464.00 508.00 500.00
639100.00 508.00 502.00
640728.00 508.00 504.00
642364.00 507.00 505.00
643992.00 508.00 506.00
645616.00 508.00 508.00
647244.00 508.00 507.00
648872.00 508.00 505.00
650500.00 508.00 502.00
652128.00 508.00 499.00
653752.00 507.00 498.00
655380.00 508.00 499.00
657004.00 508.00 500.00
658636.00 508.00 502.00
660264.00 508.00 503.00
661888.00 508.00 505.00
663512.00 508.00 505.00
665136.00 508.00 508.00
666764.00 508.00 508.00
668392.00 508.00 505.00
670020.00 509.00 503.00
671648.00 508.00 500.00
673272.00 508.00 498.00
674900.00 508.00 499.00
676528.00 508.00 500.00
678156.00 508.00 502.00
679784.00 508.00 502.00
681408.00 508.00 504.00
683036.00 508.00 505.00
684664.00 508.00 507.00
686292.00 508.00 508.00
687920.00 508.00 506.00
689544.00 508.00 504.00
691176.00 508.00 501.00
692800.00 508.00 498.00
694436.00 508.00 498.00
696064.00 509.00 499.00
697692.00 508.00 501.00
699320.00 508.00 502.00
700944.00 508.00 504.00
702572.00 508.00 505.00
704200.00 508.00 506.00
705828.00 508.00 508.00
707456.00 508.00 507.00
709080.00 508.00 504.00
710708.00 508.00 502.00
712336.00 509.00 498.00
713972.00 507.00 498.00
715600.00 508.00 499.00
717232.00 508.00 500.00
718860.00 508.00 502.00
720488.00 508.00 503.00
722116.00 508.00 505.00
723744.00 508.00 506.00
725372.00 508.00 508.00
727000.00 509.00 507.00
728632.00 508.00 505.00
730268.00 508.00 503.00
731896.00 508.00 499.00
733524.00 508.00 498.00
735152.00 508.00 499.00
736776.00 508.00 500.00
738412.00 508.00 501.00
740040.00 507.00 503.00
741668.00 508.00 504.00
743296.00 508.00 506.00
744920.00 508.00 507.00
746548.00 507.00 508.00
748176.00 508.00 506.00
749804.00 507.00 503.00
751432.00 508.00 500.00
753056.00 507.00 498.00
754692.00 508.00 499.00
756320.00 508.00 499.00
757956.00 508.00 501.00
759584.00 508.00 502.00
761216.00 508.00 504.00
762848.00 508.00 505.00
764480.00 508.00 507.00
766116.00 509.00 508.00
767744.00 508.00 506.00
769384.00 507.00 504.00
771008.00 508.00 501.00
772632.00 508.00 498.00
774260.00 508.00 498.00
775888.00 508.00 499.00
777516.00 508.00 500.00
779144.00 508.00 501.00
780776.00 507.00 503.00
782416.00 508.00 505.00
784040.00 508.00 506.00
785668.00 508.00 508.00
787296.00 507.00 506.00
788920.00 508.00 504.00
790548.00 508.00 502.00
792176.00 507.00 498.00
793812.00 508.00 498.00
795440.00 508.00 499.00
797064.00 507.00 500.00
798696.00 508.00 501.00
800328.00 508.00 503.00
801964.00 508.00 504.00
803592.00 509.00 506.00
