1200346880.Start

time_(μs) raw_current raw_low_voltage
1240984.00 516.00 72.00
1242608.00 513.00 64.00
1244240.00 515.00 59.00
1245864.00 516.00 68.00
1247496.00 516.00 47.00
1249124.00 515.00 70.00
1250748.00 514.00 66.00
1252376.00 515.00 27.00
1254004.00 514.00 46.00
1255632.00 515.00 74.00
1257260.00 516.00 89.00
1258884.00 513.00 75.00
1260508.00 517.00 68.00
1262132.00 517.00 56.00
1263760.00 517.00 56.00
1265388.00 517.00 72.00
1267016.00 516.00 52.00
1268644.00 516.00 74.00
1270268.00 516.00 70.00
1271896.00 518.00 61.00
1273524.00 517.00 64.00
1275152.00 518.00 80.00
1276780.00 518.00 93.00
1278404.00 517.00 78.00
1280032.00 518.00 71.00
1281656.00 518.00 66.00
1283288.00 518.00 51.00
1284904.00 516.00 68.00
1286528.00 517.00 76.00
1288152.00 518.00 74.00
1289776.00 518.00 78.00
1291408.00 519.00 61.00
1293024.00 517.00 8.00
1294612.00 517.00 63.00
1296232.00 518.00 78.00
1297856.00 518.00 44.00
1299488.00 518.00 94.00
1301104.00 516.00 71.00
1302736.00 518.00 75.00
1304364.00 518.00 88.00
1305988.00 519.00 74.00
1307612.00 518.00 69.00
1309236.00 518.00 71.00
1310864.00 518.00 68.00
1312488.00 517.00 81.00
1314120.00 518.00 93.00
1315736.00 517.00 67.00
1317360.00 518.00 77.00
1318992.00 521.00 89.00
1320616.00 519.00 73.00
1322248.00 517.00 68.00
1323872.00 516.00 29.00
1325496.00 516.00 72.00
1327128.00 517.00 45.00
1328752.00 518.00 95.00
1330384.00 516.00 75.00
1332004.00 518.00 62.00
1333624.00 516.00 57.00
1335248.00 517.00 63.00
1336872.00 515.00 78.00
1338504.00 515.00 70.00
1340128.00 516.00 55.00
1341760.00 515.00 61.00
1343384.00 517.00 57.00
1345008.00 516.00 79.00
1346640.00 516.00 78.00
1348256.00 518.00 65.00
1349888.00 515.00 55.00
1351504.00 515.00 6.00
1353088.00 514.00 70.00
1354704.00 515.00 69.00
1356332.00 518.00 64.00
1357960.00 517.00 60.00
1359584.00 517.00 57.00
1361216.00 517.00 86.00
1362840.00 517.00 75.00
1364464.00 517.00 56.00
1366096.00 516.00 57.00
1367720.00 516.00 69.00
1369352.00 517.00 93.00
1370980.00 516.00 70.00
1372604.00 517.00 55.00
1374232.00 517.00 62.00
1375852.00 517.00 43.00
1377480.00 517.00 72.00
1379108.00 516.00 66.00
1380732.00 518.00 58.00
1382356.00 517.00 71.00
1383980.00 516.00 60.00
1385608.00 518.00 72.00
1387232.00 517.00 68.00
1388864.00 519.00 57.00
1390488.00 517.00 72.00
1392116.00 516.00 76.00
1393744.00 518.00 71.00
1395372.00 518.00 61.00
1397000.00 517.00 53.00
1398616.00 517.00 68.00
1400244.00 518.00 53.00
1401872.00 515.00 66.00
1403500.00 517.00 68.00
1405128.00 518.00 63.00
1406756.00 517.00 61.00
1408380.00 517.00 77.00
1410000.00 518.00 93.00
1411624.00 517.00 84.00
1413256.00 519.00 73.00
1414880.00 518.00 61.00
1416512.00 518.00 67.00
1418132.00 515.00 69.00
1419756.00 517.00 79.00
1421384.00 519.00 76.00
1423012.00 519.00 71.00
1424640.00 518.00 63.00
1426264.00 516.00 34.00
1427892.00 517.00 72.00
1429520.00 518.00 91.00
1431148.00 516.00 77.00
1432776.00 516.00 75.00
1434404.00 516.00 68.00
1436024.00 519.00 66.00
1437648.00 517.00 63.00
1439272.00 517.00 71.00
1440904.00 518.00 88.00
1442528.00 515.00 79.00
1444160.00 517.00 80.00
1445784.00 517.00 22.00
1447408.00 517.00 67.00
1449040.00 518.00 65.00
1450664.00 518.00 29.00
1452296.00 514.00 38.00
1453924.00 516.00 52.00
1455548.00 518.00 102.00
1457220.00 517.00 83.00
1458844.00 518.00 81.00
1460472.00 519.00 70.00
1462100.00 519.00 66.00
1463724.00 518.00 68.00
1465352.00 518.00 72.00
1466980.00 518.00 85.00
1468608.00 518.00 62.00
1470236.00 518.00 73.00
1471864.00 518.00 78.00
1473492.00 519.00 74.00
1475116.00 518.00 66.00
1476744.00 518.00 70.00
1478372.00 517.00 73.00
1480000.00 517.00 48.00
1481624.00 518.00 63.00
1483248.00 516.00 79.00
1484880.00 518.00 71.00
1486504.00 519.00 71.00
1488136.00 518.00 63.00
1489760.00 519.00 76.00
1491388.00 518.00 41.00
1493016.00 518.00 100.00
1494676.00 517.00 81.00
1496304.00 518.00 68.00
1497932.00 519.00 63.00
1499552.00 517.00 63.00
1501180.00 518.00 79.00
1502812.00 518.00 79.00
1504440.00 518.00 74.00
1506068.00 518.00 64.00
1507696.00 517.00 56.00
1509324.00 516.00 67.00
1510948.00 513.00 32.00
1512576.00 514.00 94.00
1514204.00 518.00 82.00
1515832.00 518.00 63.00
1517460.00 517.00 63.00
1519084.00 515.00 29.00
1520712.00 515.00 77.00
1522340.00 516.00 67.00
1523968.00 519.00 74.00
1525596.00 517.00 66.00
1527220.00 517.00 62.00
1528848.00 518.00 67.00
1530476.00 517.00 76.00
1532104.00 518.00 74.00
1533732.00 517.00 64.00
1535356.00 517.00 61.00
1536980.00 515.00 58.00
1538600.00 515.00 58.00
1540232.00 517.00 69.00
1541852.00 515.00 63.00
1543480.00 516.00 0.00
1545048.00 515.00 67.00
1546676.00 516.00 47.00
1548304.00 517.00 75.00
1549932.00 517.00 62.00
1551560.00 516.00 8.00
1553144.00 513.00 58.00
1554768.00 515.00 60.00
1556396.00 518.00 68.00
1558020.00 517.00 58.00
1559648.00 516.00 18.00
1561276.00 514.00 76.00
1562904.00 515.00 65.00
1564528.00 517.00 61.00
1566156.00 515.00 53.00
1567784.00 514.00 16.00
1569412.00 514.00 66.00
1571040.00 516.00 63.00
1572668.00 517.00 13.00
1574292.00 516.00 64.00
1575916.00 516.00 76.00
1577540.00 515.00 64.00
1579168.00 515.00 51.00
1580796.00 516.00 61.00
1582424.00 516.00 90.00
1584052.00 514.00 61.00
1585676.00 516.00 51.00
1587304.00 515.00 69.00
1588928.00 516.00 77.00
1590560.00 517.00 58.00
1592188.00 514.00 16.00
1593812.00 515.00 62.00
1595440.00 516.00 65.00
1597068.00 516.00 56.00
1598696.00 516.00 19.00
1600324.00 514.00 74.00
1601944.00 515.00 61.00
1603568.00 516.00 49.00
1605192.00 516.00 65.00
1606824.00 515.00 64.00
1608448.00 516.00 52.00
1610080.00 515.00 51.00
1611696.00 514.00 68.00
1613324.00 516.00 58.00
1614952.00 514.00 5.00
1616528.00 514.00 0.00
1618092.00 516.00 61.00
1619712.00 515.00 56.00
1621344.00 516.00 55.00
1622972.00 515.00 81.00
1624596.00 515.00 41.00
1626224.00 514.00 46.00
1627852.00 515.00 83.00
1629480.00 516.00 60.00
1631108.00 516.00 51.00
1632732.00 515.00 79.00
1634360.00 516.00 43.00
1635988.00 514.00 45.00
1637616.00 514.00 80.00
1639244.00 515.00 41.00
1640864.00 515.00 45.00
1642480.00 515.00 60.00
1644104.00 515.00 0.00
1645676.00 514.00 48.00
1647296.00 516.00 58.00
1648928.00 515.00 47.00
1650544.00 515.00 56.00
1652168.00 516.00 61.00
1653800.00 515.00 43.00
1655416.00 514.00 53.00
1657048.00 516.00 53.00
1658664.00 515.00 28.00
1660288.00 515.00 56.00
1661912.00 516.00 51.00
1663536.00 515.00 42.00
1665168.00 515.00 61.00
1666792.00 515.00 46.00
1668424.00 514.00 56.00
1670040.00 513.00 57.00
1671664.00 515.00 40.00
1673296.00 515.00 66.00
1674912.00 516.00 56.00
1676544.00 515.00 39.00
1678164.00 515.00 72.00
1679784.00 515.00 48.00
1681416.00 515.00 49.00
1683032.00 516.00 58.00
1684664.00 515.00 35.00
1686288.00 516.00 54.00
1687920.00 515.00 54.00
1689536.00 514.00 41.00
1691164.00 514.00 60.00
1692792.00 515.00 46.00
1694408.00 516.00 52.00
1696040.00 515.00 59.00
1697656.00 515.00 40.00
1699280.00 515.00 66.00
1700912.00 514.00 47.00
1702528.00 515.00 14.00
1704160.00 515.00 58.00
1705776.00 514.00 48.00
1707400.00 515.00 56.00
1709024.00 514.00 55.00
1710648.00 513.00 38.00
1712280.00 514.00 39.00
1713904.00 516.00 52.00
1715536.00 515.00 46.00
1717160.00 514.00 59.00
1718784.00 515.00 43.00
1720416.00 515.00 55.00
1722040.00 516.00 63.00
1723672.00 514.00 41.00
1725288.00 514.00 68.00
1726916.00 516.00 56.00
1728544.00 515.00 45.00
1730168.00 516.00 75.00
1731800.00 515.00 49.00
1733424.00 515.00 45.00
1735048.00 515.00 58.00
1736672.00 515.00 0.00
1738240.00 512.00 35.00
1739864.00 515.00 62.00
1741484.00 515.00 42.00
1743112.00 516.00 58.00
1744732.00 517.00 61.00
1746352.00 515.00 41.00
1747984.00 515.00 45.00
1749608.00 516.00 59.00
1751240.00 517.00 43.00
1752864.00 514.00 49.00
1754488.00 515.00 51.00
1756112.00 514.00 47.00
1757740.00 515.00 61.00
1759368.00 515.00 47.00
1760996.00 514.00 53.00
1762624.00 515.00 63.00
1764240.00 515.00 43.00
1765864.00 516.00 64.00
1767496.00 515.00 57.00
1769120.00 516.00 46.00
1770752.00 516.00 75.00
